-------------------------------------------------------------------------------------------,,,,,,,,,
1992,6,33770,1992.4563,-7.98,-7.86,-7.95,-7.84,-7.98,-7.86
1992,7,33800,1992.5383,-7.83,-7.82,-7.85,-7.84,-7.83,-7.82
1992,8,33831,1992.623,-7.73,-7.83,-7.74,-7.84,-7.73,-7.83
1992,9,33862,1992.7077,-7.69,-7.87,-7.66,-7.84,-7.69,-7.87
1992,10,33892,1992.7896,-7.68,-7.84,-7.68,-7.84,-7.68,-7.84
1992,11,33923,1992.8743,-7.78,-7.87,-7.74,-7.84,-7.78,-7.87
1992,12,33953,1992.9563,-7.8,-7.84,-7.79,-7.83,-7.8,-7.84
1993,1,33984,1993.0411,-7.82,-7.82,-7.82,-7.82,-7.82,-7.82
1993,2,34015,1993.126,-7.82,-7.78,-7.85,-7.81,-7.82,-7.78
1993,3,34043,1993.2027,-7.91,-7.82,-7.89,-7.81,-7.91,-7.82
1993,4,34074,1993.2877,-7.91,-7.77,-7.95,-7.8,-7.91,-7.77
1993,5,34104,1993.3699,-7.99,-7.83,-7.96,-7.8,-7.99,-7.83
1993,6,34135,1993.4548,-7.9,-7.79,-7.91,-7.8,-7.9,-7.79
1993,7,34165,1993.537,-7.79,-7.78,-7.81,-7.8,-7.79,-7.78
1993,8,34196,1993.6219,-7.71,-7.81,-7.7,-7.8,-7.71,-7.81
1993,9,34227,1993.7068,-7.6,-7.78,-7.63,-7.81,-7.6,-7.78
1993,10,34257,1993.789,-7.64,-7.79,-7.66,-7.82,-7.64,-7.79
1993,11,34288,1993.874,-7.75,-7.84,-7.73,-7.82,-7.75,-7.84
1993,12,34318,1993.9562,-7.82,-7.85,-7.79,-7.83,-7.82,-7.85
1994,1,34349,1994.0411,-7.88,-7.88,-7.84,-7.84,-7.88,-7.88
1994,2,34380,1994.126,-7.87,-7.83,-7.88,-7.84,-7.87,-7.83
1994,3,34408,1994.2027,-7.9,-7.81,-7.93,-7.84,-7.9,-7.81
1994,4,34439,1994.2877,-7.98,-7.83,-7.99,-7.84,-7.98,-7.83
1994,5,34469,1994.3699,-8.01,-7.85,-8.01,-7.84,-8.01,-7.85
1994,6,34500,1994.4548,-7.98,-7.86,-7.96,-7.84,-7.98,-7.86
1994,7,34530,1994.537,-7.84,-7.82,-7.86,-7.85,-7.84,-7.82
1994,8,34561,1994.6219,-7.73,-7.84,-7.75,-7.85,-7.73,-7.84
1994,9,34592,1994.7068,-7.68,-7.86,-7.68,-7.85,-7.68,-7.86
1994,10,34622,1994.789,-7.7,-7.86,-7.7,-7.86,-7.7,-7.86
1994,11,34653,1994.874,-7.78,-7.88,-7.77,-7.86,-7.78,-7.88
1994,12,34683,1994.9562,-7.89,-7.93,-7.83,-7.87,-7.89,-7.93
1995,1,34714,1995.0411,-7.85,-7.85,-7.87,-7.87,-7.85,-7.85
1995,2,34745,1995.126,-7.89,-7.85,-7.91,-7.87,-7.89,-7.85
1995,3,34773,1995.2027,-7.95,-7.86,-7.96,-7.87,-7.95,-7.86
1995,4,34804,1995.2877,-8.03,-7.89,-8.02,-7.88,-8.03,-7.89
1995,5,34834,1995.3699,-8.06,-7.89,-8.05,-7.88,-8.06,-7.89
1995,6,34865,1995.4548,-8.02,-7.9,-8,-7.89,-8.02,-7.9
